Campo / Tag XML,Descrição do Código,Tipo,Tamanho (Nº Caracteres),Exemplo de Preenchimento / Valor,Fonte
ROC (Inferred),Registro de Operação de Consumo,Texto (Inferred),Variável (Inferred),ROC123456,32
vCashback (Inferred),Valor de devolução parcial de tributos a pessoas físicas,Numérico (Inferred),"13,2 (Inferred)",25.50,32
vCBS,Valor da Contribuição sobre Bens e Serviços (CBS),N,13.2,100.00,Inferred
vIBS,Valor do Imposto sobre Bens e Serviços (IBS),N,13.2,150.00,Inferred
pIBS,Alíquota do IBS,N,3.2 - 5.2,17.00,Inferred
pCBS,Alíquota da CBS,N,3.2 - 5.2,8.80,Inferred
cUF,Código da Unidade da Federação,N,2,35,33
FCP,Alíquota do Fundo de Combate à Pobreza,N,1.2 - 1.4,2.00,33
mod,Modelo do Documento Fiscal (NF-e/NFC-e),N,2,55,Inferred
DPS,Declaração de Prestação de Serviços (NFS-e Nacional),S,1-20,DPS123,Inferred
origem,Dígito da Tabela A - Origem da mercadoria ou serviço,Numérico,1,0 (Nacional),34
CST,Código de Situação Tributária do ICMS (ABB),Numérico,3,"000 (Nacional, tributada integralmente)",34
CST,Código de Situação Tributária de IBS e CBS,Numérico,3,000 (Tributação Integral),34
cClassTrib,Classificação Tributária vinculada ao dispositivo da lei (Reforma Tributária),Numérico,6,000001,34
CST PIS/COFINS,Código de Situação Tributária para PIS e COFINS,Numérico,2,01 (Operação Tributável à Alíquota Básica),34
CST IPI,Código de Situação Tributária para IPI,Numérico,2,50 (Saída tributada),34
CRT,Código de Regime Tributário,Numérico,1,3 (Regime Normal),34
tpOper,"Tipo de operação do evento: 1-Inclusão, 2-Alteração, 3-Exclusão.",Numérico (N),1,1,35
nrInsc,Número de inscrição do contribuinte (CNPJ raiz).,Alfanumérico (C),8,12345678,35
regTribPrinc,"Regime de tributação principal: 1-Financ., 2-Saúde, 3-Prognósticos, 9-Outros.",Numérico (N),1,1,35
codTrib,"Código de tributação para fins de IBS, CBS e IS.",Numérico (N),9,123456789,35
cCta,Código completo da conta (cCtaInterna + cDbrMista).,Alfanumérico (C),1-53,10101000,35
cCtaRef,"Código da conta do plano de contas referencial (COSIF, ANS, SUSEP ou SPED).",Alfanumérico (C),1-13,1010101000123,35
tpAmb,"Identificação do ambiente: 1-Produção, 2-Produção restrita.",Numérico (N),1,1,35
iniValid,Data de início da validade das informações.,Data (D),10,2026-05-29,35
indTribISS,"Indicador de sujeição ou vinculação ao ISSQN: 0-Não, 1-Sim.",Numérico (N),1,0,35
id,Identificador que representa unicamente o evento.,Alfanumérico (C),42,ID123456789012345678901234567890123456789012,35
modFrete,Modalidade do frete,Numérico,1,9 (Sem frete),36
m3,Volume medido em metros cúbicos de gás,Numérico,Não especificado,1000,36
FATOR PCS,Fator de ajuste do poder calorífico superior,Numérico,10 casas decimais,1.0373021790,36
CONTRATO,Número do contrato de comercialização ou prestação de serviço,Alfanumérico,Não especificado,CTR-2026-001,36
CFOP,Código Fiscal de Operações e Prestações (Transporte Interestadual),Numérico,4,6352,36
CFOP,Código Fiscal de Operações e Prestações (Baixa de estoque por perda),Numérico,4,5927,36
infAdic,Informações Complementares (p/ AJUSTE SINIEF 19/26),Alfanumérico,Até 2000,AJUSTE SINIEF 19/26; M3: 500; FATOR PCS: 1.0; CONTRATO: 123,36
cANP,Código ANP do Ponto de Entrada ou Saída,Numérico,Não especificado,210203001,36
NFS-e,Nota Fiscal de Serviço eletrônica de padrão nacional,XML/API,Variável,Emissor Nacional,37
vIBS,Valor do Imposto sobre Bens e Serviços (IBS),Numérico (N),"15, 2 (vDec)",100.00,Inferred
vCBS,Valor da Contribuição sobre Bens e Serviços (CBS),Numérico (N),"15, 2 (vDec)",50.00,Inferred
CST,Código de Situação Tributária (incluindo novas categorias IBS/CBS),Alfanumérico (C),2 ou 3,00,Inferred
pIBS,Alíquota do IBS (Imposto sobre Bens e Serviços),Numérico (N),"5, 2 ou 7, 4",17.00,Inferred
pCBS,Alíquota da CBS (Contribuição sobre Bens e Serviços),Numérico (N),"5, 2 ou 7, 4",8.80,Inferred
tpEmis,Tipo de Emissão (Contingência Off-line para CT-e OS),Numérico (N),1,9,38
qrCode,Código bidimensional com mecanismo de autenticação digital no DACTE,Alfanumérico (C),100-2000,https://www.sefaz.gov.br...,38
vIBS,Valor do Imposto sobre Bens e Serviços (IBS),Numérico (Decimal),15 (2 decimais),150.00,39
vCBS,Valor da Contribuição sobre Bens e Serviços (CBS),Numérico (Decimal),15 (2 decimais),120.50,39
pIBS,Alíquota do IBS,Numérico (Decimal),7 (4 decimais),17.7000,39
pCBS,Alíquota da CBS,Numérico (Decimal),7 (4 decimais),8.8000,39
cListServ,Código do Item da Lista de Serviços (LC 116/03),Alfanumérico,5,01.01,40
mod,Modelo do Documento Fiscal (NF-e/NFS-e/NFGas),Numérico,2,55,41
tpLocalDestino,Indicador de tributação no destino do frete/serviço,Numérico,1,1,39
refNFe,Chave de acesso das NF-e de remessa referenciadas no documento fiscal.,String / Numérico,44,35230100000000000000550010000000011234567890,42
infAdFisco,Informações Adicionais de Interesse do Fisco para indicação de termos de ajustes ou benefícios.,String / Alfanumérico,1-2000,NF-e emitida nos termos do Ajuste SINIEF 15/2020,42
vIBS,Valor do Imposto sobre Bens e Serviços (IBS) incidente na operação (Inferred).,Numérico,1-15 (2 decimais),150.50,43
vCBS,Valor da Contribuição sobre Bens e Serviços (CBS) incidente na operação (Inferred).,Numérico,1-15 (2 decimais),280.75,43
indSplitPayment,Indicador de operacionalização do split payment para recolhimento automático (Inferred).,Booleano / Inteiro,1,1,"43, 44"
CFOP,Código Fiscal de Operações e Prestações para retorno de mercadoria ou bem.,String / Numérico,4,5915,42
vIS,Valor do Imposto Seletivo (IS) incidente sobre bens prejudiciais (Inferred).,Numérico,1-15 (2 decimais),50.00,43
IBS,Imposto sobre Bens e Serviços (Competência Estadual e Municipal),Inferred: Decimal,"Inferred: 13,2",0.1325,45
CBS,Contribuição sobre Bens e Serviços (Competência Federal),Inferred: Decimal,"Inferred: 13,2",0.0880,45
RedutorAjuste,Valor deduzido da base de cálculo correspondente ao custo de aquisição e construção,Inferred: Decimal,"Inferred: 15,2",500000.00,45
RedutorSocial,Dedução fixa na base de cálculo para imóveis residenciais novos ou lotes,Inferred: Decimal,"Inferred: 15,2",100000.00,45
CIB,Cadastro Imobiliário Brasileiro (CPF dos Imóveis),Inferred: Alfanumérico,Inferred: 14,BR123456789012,46
CNPJ,Cadastro Nacional da Pessoa Jurídica (Padrão Alfanumérico),Alfanumérico,14,12ABC345000199,45
codBC,"Código da Base de Cálculo utilizado para consolidar as regras de formação das bases do IBS, CBS e IS.",Numérico (Inferred),Variável (Inferred),Tabela 12,47
codTrib,Código de Tributação para escrituração de valores e segregação de receitas (ex: transição PIS/Cofins).,Alfanumérico (Inferred),9,130140001,47
D-1101,Evento de Balancete Mensal para captura de movimentação de contas analíticas e aferição de tributos.,Estrutural / XML (Inferred),Não especificado (Inferred),,47
D-1106,Identificação de Aplicações Financeiras vinculadas a reservas técnicas para composição da base de cálculo.,Estrutural / XML (Inferred),Não especificado (Inferred),,47
D-1199,Evento de Fechamento Mensal para sinalizar a conclusão da transmissão da escrituração.,Estrutural / XML (Inferred),Não especificado (Inferred),,47
D-2101,Débito em Operações com Títulos de Dívida com Oferta Pública.,Estrutural / XML (Inferred),Não especificado (Inferred),,47
perApur,Período de Apuração declarado no cabeçalho do evento para validação de competência.,Data (AAAA-MM) (Inferred),7 (Inferred),2026-06,47
nrRecibo,Número do recibo anterior obrigatório em operações de alteração ou exclusão.,Alfanumérico (Inferred),41 (Inferred),1.1.22062026.12345,47
tpEmis,Tipo de Emissão do documento fiscal (ex: contingência off-line).,Numérico (Inferred),1,9 (Contingência),48
CNPJ,Número de identificação do contribuinte (validado via Módulo 11).,Numérico,14,00000000000191,47
vIBS,Valor do Imposto sobre Bens e Serviços (IBS),Numérico,1 a 15 (2 decimais),150.00,"49, 50"
vCBS,Valor da Contribuição sobre Bens e Serviços (CBS),Numérico,1 a 15 (2 decimais),120.00,"49, 51"
indSplit,Indicador de recolhimento via Split Payment,Booleano,1,1,49
pIBS,Alíquota do IBS (Imposto sobre Bens e Serviços),Numérico,1 a 5 (2 a 4 decimais),12.00,"50, 52"
pCBS,Alíquota da CBS (Contribuição sobre Bens e Serviços),Numérico,1 a 5 (2 a 4 decimais),9.25,"50, 51"
cClassifIBS,Código de classificação tributária do IBS,Alfanumérico,2,01,"50, 52"
vBCIBS,Base de cálculo do IBS,Numérico,1 a 15 (2 decimais),1000.00,"50, 51"
vBCCBS,Base de cálculo da CBS,Numérico,1 a 15 (2 decimais),1000.00,"50, 51"
indSN,Indicador de apuração de IBS/CBS por fora do Simples Nacional,Booleano,1,1,52
id,Identificador único do evento (Atributo ID),String (Alfanumérico),42,DeRE10011000000000000002026010112000000001,53
tpAmb,Identificação do Ambiente (1 - Produção; 2 - Produção Restrita),Numérico,1,1,53
tpOper,Tipo de Operação (1 - Inclusão; 2 - Alteração; 3 - Exclusão),Numérico,1,1,53
nrInsc,Número de Inscrição do Contribuinte (CNPJ ou CPF),String (Numérico),8 (se CNPJ raiz) ou 14,12345678,53
codTrib,Código de tributo informado para a conta no sistema,String (Numérico),9,100000001,53
cCta,Código da conta contábil,String (Alfanumérico),Não especificado,101010100,53
cDbrMista,Código de desdobramento da conta,String (Numérico),3,000,53
perApur,Período de apuração dos tributos (IBS/CBS),String (Data),7 (AAAA-MM),2026-01,53
servFinac,Grupo de informações para o regime de Serviços Financeiros,Grupo (XML),N/A,...,53
plAssistSaude,Grupo de informações para o regime de Plano de Assistência à Saúde,Grupo (XML),N/A,...,53
prognosticos,Grupo de informações para o regime de Concursos de Prognósticos,Grupo (XML),N/A,...,53
tpNFCredito,"Tipo de nota de crédito (ajustes, devolução, transferência etc.).",String (Inferred),2 (Inferred),04 (Redução de valores),54
tpAmb,Tipo de ambiente de processamento (Produção ou Homologação).,String (Inferred),1,1 (Produção),54
finNFe,Finalidade de emissão da NF-e (Código 6=Nota de débito),Numérico (Inferred),1 (Inferred),6,55
tpNFDebito,Tipo de Nota de Débito (Código 06=Pagamento antecipado),Numérico (Inferred),2 (Inferred),06,55
natOp,Descrição da Natureza da Operação,Alfanumérico (Inferred),1-60 (Inferred),Venda para entrega futura - Pagamento antecipado,55
CFOP,Código Fiscal de Operações e Prestações,Numérico (Inferred),4 (Inferred),5.922,55
refNFe,Chave de acesso da NF-e referenciada,Numérico (Inferred),44 (Inferred),35231000000000000000550010000000011234567890,55
tpNFDebito,Tipo de Nota de Débito (Código 07=Perda em estoque),Numérico (Inferred),2 (Inferred),07,55
finNFe,Finalidade de emissão da NF-e (Código 5=Nota de crédito),Numérico (Inferred),1 (Inferred),5,55
tpNFCredito,Tipo de Nota de Crédito (Código 04=Redução de valores ou quantidades),Numérico (Inferred),2 (Inferred),04,55
tpNFCredito,Tipo de Nota de Crédito (Código 03=Retorno por Recusa Total),Numérico (Inferred),2 (Inferred),03,55
tpNFCredito,Tipo de Nota de Crédito (Código 06=Retorno por Recusa Parcial),Numérico (Inferred),2 (Inferred),06,55
tpNFDebito,Tipo de Nota de Débito (Código 09=Retorno por Recusa Parcial),Numérico (Inferred),2 (Inferred),09,55
infAdFisco,Informações Adicionais de Interesse do Fisco,Alfanumérico (Inferred),1-2000 (Inferred),Justificativa da baixa do estoque ou redução de valor,55
cCredPres,Crédito presumido da aquisição de bens e serviços de produtor rural e produtor rural integrado não contribuinte (Art. 168 LC 214/2025),Inteiro (N),1 a 2,1,56
cCredPres,Crédito presumido da aquisição de serviço de transportador autônomo de carga pessoa física não contribuinte (Art. 169 LC 214/2025),Inteiro (N),1 a 2,2,56
cCredPres,Crédito presumido da aquisição de resíduos e materiais destinados à reciclagem adquiridos de pessoa física/cooperativa (Art. 170 LC 214/2025),Inteiro (N),1 a 2,3,56
cCredPres,Crédito presumido da aquisição de bens móveis usados de pessoa física para revenda (Art. 171 LC 214/2025),Inteiro (N),1 a 2,4,56
pAliqCredPresCBS,Alíquota de Crédito Presumido da CBS (Cálculo variável conforme regime ou anuidade),Decimal (N),1 a 15,0.0750,56
pAliqCredPresIBS,Alíquota de Crédito Presumido do IBS (Calculada anualmente ou fixa por região),Decimal (N),1 a 15,0.1350,56
cClass,Código de classificação da nota referenciada para fins de crédito/alíquota,String (C),6,410014,56
dIniVig,Data de início da vigência do parâmetro tributário de IBS/CBS,Data (AAAA-MM-DD),10,2027-01-01,56
ind_Deduz CredPres,Indicador se o crédito presumido deve ser deduzido (0=Não; 1=Sim),Booleano/Inteiro (N),1,1,56
cCredPres,Crédito presumido no regime automotivo (Art. 311 LC 214/2025),Inteiro (N),1 a 2,5,56
cClassTrib,"Código de Classificação Tributária do IBS e da CBS que traduz a regra de tributação aplicável (integral, reduzida, imunidade, etc.).",Numérico,6,000001,"57, 58"
CST-IBS/CBS,"Código de Situação Tributária específico para o IBS e a CBS, compondo os três primeiros dígitos do cClassTrib.",Numérico,3,000,"57, 58"
planoCtaRef,Código do Plano de Contas Referencial (inclusão do domínio 5 - PREVIC),Inteiro / Domínio,1,5,59
vVarMensal,Valor da variação mensal na carteira de ativos (permite sinal negativo),Numérico (Decimal),4-19,-1500.50,59
CST-IBS/CBS,Código de Situação Tributária para IBS e CBS (Tributação integral),Numérico,3,000,60
CST-IBS/CBS,Código de Situação Tributária para IBS e CBS (Alíquota reduzida),Numérico,3,200,60
CST-IBS/CBS,Código de Situação Tributária para IBS e CBS (Isenção),Numérico,3,400,60
CST-IBS/CBS,Código de Situação Tributária para IBS e CBS (Imunidade e não incidência),Numérico,3,410,60
CST-IBS/CBS,Código de Situação Tributária para IBS e CBS (Diferimento),Numérico,3,510,60
CST-IBS/CBS,Código de Situação Tributária para IBS e CBS (Suspensão),Numérico,3,550,60
CST-IBS/CBS,Código de Situação Tributária para IBS e CBS (Tributação monofásica),Numérico,3,620,60
client_id,Identificador da empresa para autenticação via OAuth 2.0 (Receita Integra),Alfanumérico,Não especificado,client_id_exemplo_123,61
client_secret,Chave secreta da empresa para autenticação via OAuth 2.0 (Receita Integra),Alfanumérico,Não especificado,secret_exemplo_456,61
Authorization,Cabeçalho HTTP para envio do token de acesso (Bearer Token),String,Não especificado,Bearer <access_token>,61
NFS-e (Grupo Locação),Grupo específico para registro de operações de locação de bens móveis,Estrutura de dados (XML),Até 1.000 itens,Referente a Nota Técnica 009,62
mod,"Modelo do Documento Fiscal (ex: 55 para NF-e, 65 para NFC-e)",Numérico (Inferred),2,55,63
CNPJ,Cadastro Nacional da Pessoa Jurídica (formato alfanumérico),Alfanumérico (Inferred),14,ABC12345000101,64
IBS,Imposto sobre Bens e Serviços,Numérico / Decimal,15 (2 decimais),"1.848,00",65
CBS,Contribuição sobre Bens e Serviços,Numérico / Decimal,15 (2 decimais),"1.848,00",65
CNPJ,Cadastro Nacional da Pessoa Jurídica do emitente/concessionária,Numérico,14,00.000.000/0001-00,"66, 67"
NFS-e Via,Nota Fiscal de Serviço eletrônica de Exploração de Via,Documento Digital,Não especificado,XML da NFS-e Via,67
RPV,Registro de Passagem Veicular (documento auxiliar),Documento Auxiliar,Variável,Chave de acesso / QR Code,67
DANFSe Via,Documento Auxiliar da NFS-e Via,PDF / Documento Eletrônico,Variável,Representação gráfica da NFS-e,67
CIB,Cadastro Imobiliário Brasileiro (CPF dos imóveis),Alfanumérico,Não especificado,Identificador único do imóvel,65
Sinter,Sistema Nacional de Gestão de Informações Territoriais,Sistema de Dados,Não especificado,Central de dados de imóveis,65
NFS-e,Nota Fiscal de Serviços Eletrônica,Documento Fiscal Eletrônico,Not in source,DPS,1
Chave de Acesso,Identificação única do documento fiscal eletrônico,Numérico,Not in source,CNPJ do emitente + Modelo + Série + Número,1
IBS,Imposto sobre Bens e Serviços (Reforma Tributária),Alíquota / Valor,Not in source,0.1% (em 2026),1
CBS,Contribuição sobre Bens e Serviços,Alíquota / Valor,Not in source,0.9% (em 2027),1
NBS,Nomenclatura Brasileira de Serviços,Alfanumérico,Not in source,1.2205.12.00,1
cCIB,Código de Inscrição no Cadastro Imobiliário Brasileiro (CIB) para operações imobiliárias.,Alfanumérico,Not in source,SP12345678,2
DTE,Domicílio Tributário Eletrônico unificado para comunicação entre administrações tributárias e sujeitos passivos.,Eletrônico / Digital,Not in source,Acesso via portal gov.br,4
UPF,Unidade Padrão Fiscal dos Tributos sobre Bens e Serviços para cálculo de penalidades.,Moeda (BRL),Not in source,200.00,4
CGIBS,Comitê Gestor do Imposto sobre Bens e Serviços - Entidade responsável pela administração do IBS.,Identificador de Órgão,Not in source,CGIBS-Nacional,4
Multa Lançamento Ofício,Penalidade padrão sobre o valor do tributo não declarado ou declarado a menor.,Percentual,Not in source,75%,4
aliqIBS,Alíquota aplicada para fins de determinação do débito do IBS (Alíquota de Referência ou Diferenciada),Decimal,Not in source,17.7 (Inferred),11
vBC_IBS,Base de Cálculo do IBS compreendendo o valor integral cobrado pelo fornecedor a qualquer título,Decimal,Not in source,1000.00,11
pRedIBS,Percentual de redução de alíquota do IBS.,Numérico,Not in source,60,13
pRedCBS,Percentual de redução de alíquota da CBS.,Numérico,Not in source,60,13
gPgtoVinc,Grupo de vinculação de pagamentos para infraestrutura de split payment.,Grupo,Até 99 transações,Not in source,16
gUnidImob,Grupo para referenciar unidades imobiliárias em operações com bens imóveis.,Grupo,Até 99 registros,Not in source,16
bensMoveis,Reestruturação do grupo de identificação de bens móveis.,Grupo,Até 1.000 registros,Not in source,16
infoContrib,"Grupo de informações do contribuinte, incluindo identificação e regimes.",G (Grupo),Not in source,,17
tpAtividade,Tipo de atividade realizada pelo contribuinte vinculada aos regimes específicos.,C (Caractere),Not in source,1 (Operações de Crédito),17
,Grupo de tributação do IBS e da CBS (Tag UB12),Estruturado (Grupo),Não especificado,Not in source,18
infPAA,Grupo de Informação do Provedor de Assinatura e Autorização,G,N/A,Not in source,20
SignatureValue,Assinatura digital padrão RSA (Base64),C,Not in source,MIIEvgIBADANBgkqhkiG...,20
RSAKeyValue,Chave Pública no padrão XML RSA Key,G,N/A,Not in source,20
Exponent,Expoente da chave pública RSA,C,Not in source,AQAB,20
autXML,Pessoas autorizadas a acessar o XML da NF-e (PAA),G,N/A,Not in source,20
IBS/CBS (Inferred),Nova classificação de impostos para Reforma Tributária,N/A,Not in source,IBS/CBS,23
UB,Grupo de informações para o Imposto Seletivo,Estrutura XML,Variável,Not in source,34
gLocBensMovel,Grupo específico para locação de bens móveis (NFS-e),Grupo,Até 1000 registros,Not in source,39
cClassTrib,Classificação tributária do item para fins de IBS/CBS.,String (Inferred),Not in source,101,54
vIBS,Valor do Imposto sobre Bens e Serviços (IBS).,Numérico (Inferred),Not in source,150.00,54
vCBS,Valor da Contribuição sobre Bens e Serviços (CBS).,Numérico (Inferred),Not in source,120.50,54
vIS,Valor do Imposto Seletivo (IS).,Numérico (Inferred),Not in source,45.00,54
pAliqEfetRegCBS,Alíquota efetiva de referência da CBS em operações incentivadas.,Numérico (Inferred),Not in source,8.80,54
vTribRegCBS,Valor da CBS que seria devido fora da área incentivada.,Numérico (Inferred),Not in source,100.00,54
tpALCZFMCBS,Tipo de operação em Área de Livre Comércio ou Zona Franca para CBS.,String (Inferred),Not in source,1,54
nProcSuframa,Número do processo aprovado na Suframa.,String (Inferred),Not in source,999999999,54
IBS,Imposto sobre Bens e Serviços (competência estadual/municipal) com destaque individualizado no documento fiscal.,Decimal / Percentual,Not in source,"0,10% (2026)","58, 68"
CBS,Contribuição Social sobre Bens e Serviços (competência federal) com destaque individualizado no documento fiscal.,Decimal / Percentual,Not in source,"0,90% (2026)","58, 68"
NBS,"Nomenclatura Brasileira de Serviços, Intangíveis e Outras Operações associada à tabela oficial de cClassTrib.",Alfanumérico,Not in source,1.0101.10.00,58
cCtaRef,Código da Conta Contábil no Plano de Contas Referencial,Alfanumérico,Not in source,Tabela 24,59
perApur,Período de Apuração da Identificação de Aplicações Financeiras,Data (Mês/Ano),Not in source,082026,59
vSaldoFinal,Valor do Saldo Final do Ativo,Numérico (Decimal),Not in source,50000.00,59
vApur,Valor do cálculo de apuração (vRendPerReceb + vRendLiqResg),Numérico (Decimal),Not in source,2500.00,59
nrReciboPGCC,Número do recibo do evento D-1011 (Plano Geral de Contas Comentado),Alfanumérico,Not in source,1.20260818.123456,59
infoAdic,Grupo de informações adicionais de retorno dos totalizadores,Grupo (XML),Not in source,,59
vICMS,Valor do destaque do ICMS na NF-e,Numérico (Inferred),Not in source,180.00,69
dest,Grupo de Identificação do Destinatário da Nota Fiscal eletrônica com informações da NF-e original,Estrutura XML (Inferred),Not in source,...,69
vIBS,Valor do Imposto sobre Bens e Serviços (IBS) incidente na operação,Numérico (Inferred),Not in source,100.00,"63, 70"
vCBS,Valor da Contribuição sobre Bens e Serviços (CBS) incidente na operação,Numérico (Inferred),Not in source,85.50,"63, 70"
NFS-e,Nota Fiscal de Serviços Eletrônica de padrão nacional,Documento Digital (Inferred),Not in source,Emissão via DPS,"63, 70"
D-1101,Evento de Balancete Mensal na Declaração de Regimes Específicos (DeRE),Evento Contábil (Inferred),Not in source,D-1101,63
D-1199,Evento de Fechamento Mensal na Declaração de Regimes Específicos (DeRE),Evento Contábil (Inferred),Not in source,D-1199,63
CIB,Cadastro Imobiliário Brasileiro - Identificação de imóveis urbanos e rurais no XML,Alfanumérico,Not in source,Not in source,11
DeRE,Declaração de Serviços Financeiros e Assistência à Saúde para apropriação de créditos,Estrutura de dados XML,Not in source,Not in source,11
vAjusteBC,Grupo unificado para ajustes de base de cálculo do IBS e da CBS.,Grupo,Not in source,Not in source,16
gTribSN,Grupo para discriminar alíquotas e valores de IBS/CBS devidos pelo optante do Simples Nacional.,Grupo,Not in source,Not in source,16
Modulus,Módulo da chave pública RSA,C,Not in source,Not in source,20
